"Gene name","Description","Control","Stimulus1","Stimulus2"
"AKT1","AKT serine/threonine kinase 1","19","24","19"
"AKT1S1","AKT1 substrate 1","19","24","19"
"BRAF","B-Raf proto-oncogene, serine/threonine kinase","19","24","19"
"CAB39","calcium binding protein 39","19","24","19"
"CAB39L","calcium binding protein 39 like","19","24","19"
"CBX2","chromobox 2","19","24","19"
"DDIT4","DNA damage inducible transcript 4","19","24","19"
"EIF4B","eukaryotic translation initiation factor 4B","19","24","19"
"EIF4E","eukaryotic translation initiation factor 4E","19","24","19"
"EIF4E2","eukaryotic translation initiation factor 4E family member 2","19","24","19"
"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","19","24","19"
"HIF1A","hypoxia inducible factor 1 alpha subunit","19","24","19"
"IGF1","insulin like growth factor 1","19","24","19"
"IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","19","24","19"
"IRS1","insulin receptor substrate 1","19","24","19"
"MAPK1","mitogen-activated protein kinase 1","19","24","19"
"MAPK3","mitogen-activated protein kinase 3","19","24","19"
"MLST8","MTOR associated protein, LST8 homolog","19","24","19"
"MTOR","mechanistic target of rapamycin","19","24","19"
"PDPK1","3-phosphoinositide dependent protein kinase 1","19","24","19"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","19","24","19"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","19","24","19"
"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","19","24","19"
"PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","19","24","19"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","19","24","19"
"PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","19","24","19"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","19","24","19"
"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","19","24","19"
"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","19","24","19"
"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","19","24","19"
"PRKCA","protein kinase C alpha","19","24","19"
"PRKCB","protein kinase C beta","19","24","19"
"PRKCG","protein kinase C gamma","19","24","19"
"PTEN","phosphatase and tensin homolog","19","24","19"
"RHEB","Ras homolog enriched in brain","19","24","19"
"RICTOR","RPTOR independent companion of MTOR complex 2","19","24","19"
"RPS6","ribosomal protein S6","19","24","19"
"RPS6KA1","ribosomal protein S6 kinase A1","19","24","19"
"RPS6KA2","ribosomal protein S6 kinase A2","19","24","19"
"RPS6KA3","ribosomal protein S6 kinase A3","19","24","19"
"RPS6KA6","ribosomal protein S6 kinase A6","19","24","19"
"RPS6KB1","ribosomal protein S6 kinase B1","19","24","19"
"RPS6KB2","ribosomal protein S6 kinase B2","19","24","19"
"RPTOR","regulatory associated protein of MTOR complex 1","19","24","19"
"RRAGA","Ras related GTP binding A","19","24","19"
"RRAGB","Ras related GTP binding B","19","24","19"
"RRAGC","Ras related GTP binding C","19","24","19"
"RRAGD","Ras related GTP binding D","19","24","19"
"RYBP","RING1 and YY1 binding protein","19","24","19"
"STK11","serine/threonine kinase 11","19","24","19"
"STRADA","STE20-related kinase adaptor alpha","19","24","19"
"TNF","tumor necrosis factor","19","24","19"
"TSC1","tuberous sclerosis 1","19","24","19"
"TSC2","tuberous sclerosis 2","19","24","19"
"ULK1","unc-51 like autophagy activating kinase 1","19","24","19"
"ULK2","unc-51 like autophagy activating kinase 2","19","24","19"
"VEGFA","vascular endothelial growth factor A","19","24","19"
"MRGPRX1","MAS related GPR family member X1","25","19","21"
"GSPT2","G1 to S phase transition 2","0","19","0"
"CLCA1","chloride channel accessory 1","20","23","23"
"GBE1","1,4-alpha-glucan branching enzyme 1","20","28","29"
"ZNF771","zinc finger protein 771","20","22","29"
"SGSH","N-sulfoglucosamine sulfohydrolase","20","0","0"
"LACTB","lactamase beta","20","0","0"
"PRR30","proline rich 30","20","0","0"
"ZBTB42","zinc finger and BTB domain containing 42","27","20","21"
"ELP5","elongator acetyltransferase complex subunit 5","26","20","20"
"TOR1B","torsin family 1 member B","0","20","0"
"TP53BP1","tumor protein p53 binding protein 1","0","20","0"
"RAPGEF1","Rap guanine nucleotide exchange factor 1","21","24","20"
"KRTCAP3","keratinocyte associated protein 3","22","23","20"
"TRIP6","thyroid hormone receptor interactor 6","27","27","20"
"CASC4","cancer susceptibility 4","0","0","20"
"NIPAL2","NIPA like domain containing 2","0","0","20"
"SLC17A7","solute carrier family 17 member 7","0","0","20"
"RABL6","RAB, member RAS oncogene family like 6","0","0","20"
"ST6GALNAC6","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","21","0","0"
"MAGEB1","MAGE family member B1","26","21","24"
"TMEM200C","transmembrane protein 200C","24","21","28"
"EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","0","21","0"
"SLIRP","SRA stem-loop interacting RNA binding protein","0","21","0"
"PAM16","presequence translocase associated motor 16 homolog","0","21","0"
"TOR2A","torsin family 2 member A","0","21","0"
"DEFA1B","defensin alpha 1B","22","26","21"
"ZNF138","zinc finger protein 138","0","0","21"
"CEP89","centrosomal protein 89","0","0","21"
"CETN1","centrin 1","0","0","21"
"AMHR2","anti-Mullerian hormone receptor type 2","0","0","21"
"OPRM1","opioid receptor mu 1","22","24","23"
"KCNT2","potassium sodium-activated channel subfamily T member 2","22","0","0"
"EP300","E1A binding protein p300","22","0","0"
"GOPC","golgi associated PDZ and coiled-coil motif containing","22","0","0"
"MIF4GD","MIF4G domain containing","0","22","0"
"LDHAL6B","lactate dehydrogenase A like 6B","0","22","0"
"SCML2","sex comb on midleg like 2 (Drosophila)","0","22","0"
"GLT8D1","glycosyltransferase 8 domain containing 1","0","22","0"
"ZNF664","zinc finger protein 664","0","22","0"
"NUMBL","NUMB like, endocytic adaptor protein","0","22","0"
"TMED6","transmembrane p24 trafficking protein 6","0","22","0"
"PRKX","protein kinase, X-linked","0","22","0"
"CTSS","cathepsin S","24","24","22"
"RBMS1","RNA binding motif single stranded interacting protein 1","27","25","22"
"DCX","doublecortin","25","27","22"
"C1orf137","chromosome 1 open reading frame 137","0","0","22"
"CAPS","calcyphosine","0","0","22"
"NKAIN3","sodium/potassium transporting ATPase interacting 3","23","23","24"
"SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor","23","0","0"
"CRYAB","crystallin alpha B","23","0","0"
"METTL22","methyltransferase like 22","23","0","0"
"TM9SF3","transmembrane 9 superfamily member 3","23","0","0"
"ANAPC2","anaphase promoting complex subunit 2","23","0","0"
"POLN","DNA polymerase nu","24","23","24"
"KLK13","kallikrein related peptidase 13","0","23","0"
"C8orf37","chromosome 8 open reading frame 37","0","23","0"
"EXD1","exonuclease 3'-5' domain containing 1","0","23","0"
"MB21D1","Mab-21 domain containing 1","0","23","0"
"HM13","histocompatibility minor 13","0","0","23"
"ERVFRD-1","endogenous retrovirus group FRD member 1, envelope","0","0","23"
"CD3EAP","CD3e molecule associated protein","0","0","23"
"LYSMD2","LysM domain containing 2","0","0","23"
"BCL2L14","BCL2 like 14","0","0","23"
"YAF2","YY1 associated factor 2","24","26","25"
"TENM3","teneurin transmembrane protein 3","24","24","30"
"SIL1","SIL1 nucleotide exchange factor","24","0","0"
"HES1","hes family bHLH transcription factor 1","24","0","0"
"VWA5A","von Willebrand factor A domain containing 5A","24","0","0"
"RAD21","RAD21 cohesin complex component","24","0","0"
"ZNF579","zinc finger protein 579","24","0","0"
"CUEDC2","CUE domain containing 2","24","0","0"
"SCRT1","scratch family transcriptional repressor 1","26","24","30"
"FBN1","fibrillin 1","0","24","0"
"NDUFB11","NADH:ubiquinone oxidoreductase subunit B11","0","24","0"
"TMEM176B","transmembrane protein 176B","0","24","0"
"GADD45G","growth arrest and DNA damage inducible gamma","0","0","24"
"BRD8","bromodomain containing 8","0","0","24"
"SLC12A2","solute carrier family 12 member 2","0","0","24"
"SHE","Src homology 2 domain containing E","0","0","24"
"LRIT2","leucine rich repeat, Ig-like and transmembrane domains 2","0","0","24"
"FOXG1","forkhead box G1","25","0","0"
"ST6GAL2","ST6 beta-galactoside alpha-2,6-sialyltransferase 2","25","0","0"
"ACER1","alkaline ceramidase 1","25","0","0"
"USP17L23","ubiquitin specific peptidase 17-like family member 23","25","0","0"
"WDR35","WD repeat domain 35","27","25","28"
"C20orf78","chromosome 20 open reading frame 78","0","25","0"
"CKS1B","CDC28 protein kinase regulatory subunit 1B","0","25","0"
"EIF1","eukaryotic translation initiation factor 1","0","25","0"
"CEP192","centrosomal protein 192","29","29","25"
"C1QL3","complement C1q like 3","29","27","25"
"FGF8","fibroblast growth factor 8","0","0","25"
"KCNA7","potassium voltage-gated channel subfamily A member 7","26","26","26"
"TOM1","target of myb1 membrane trafficking protein","26","0","0"
"ARRDC3","arrestin domain containing 3","28","26","28"
"CHID1","chitinase domain containing 1","0","26","0"
"NR5A2","nuclear receptor subfamily 5 group A member 2","0","26","0"
"ACKR4","atypical chemokine receptor 4","27","0","0"
"EDN1","endothelin 1","27","0","0"
"P3H4","prolyl 3-hydroxylase family member 4 (non-enzymatic)","0","27","0"
"WDR49","WD repeat domain 49","0","27","0"
"SLC44A1","solute carrier family 44 member 1","0","27","0"
"LINS1","lines homolog 1","0","27","0"
"LRP4","LDL receptor related protein 4","0","0","27"
"DNA2","DNA replication helicase/nuclease 2","0","0","27"
"ATG7","autophagy related 7","0","0","27"
"LHB","luteinizing hormone beta polypeptide","0","0","27"
"UGT1A8","UDP glucuronosyltransferase family 1 member A8","28","0","0"
"GABRA3","gamma-aminobutyric acid type A receptor alpha3 subunit","28","0","0"
"LIMS2","LIM zinc finger domain containing 2","28","0","0"
"TSPAN10","tetraspanin 10","0","28","0"
"GALNT8","polypeptide N-acetylgalactosaminyltransferase 8","0","28","0"
"PLEKHH3","pleckstrin homology, MyTH4 and FERM domain containing H3","0","28","0"
"SLC25A42","solute carrier family 25 member 42","0","0","28"
"SIX5","SIX homeobox 5","0","0","28"
"CYP4F22","cytochrome P450 family 4 subfamily F member 22","29","0","0"
"STAT5A","signal transducer and activator of transcription 5A","29","0","0"
"MROH9","maestro heat like repeat family member 9","0","29","0"
"UTP6","UTP6, small subunit processome component","0","29","0"
"SRSF9","serine and arginine rich splicing factor 9","0","29","0"
"ZNF202","zinc finger protein 202","0","0","29"
"USH1C","USH1 protein network component harmonin","30","0","0"
"GRAPL","GRB2 related adaptor protein like","30","0","0"
"F10","coagulation factor X","0","30","0"
"TMEM132B","transmembrane protein 132B","0","30","0"
"SETD1B","SET domain containing 1B","0","30","0"
"RDH14","retinol dehydrogenase 14 (all-trans/9-cis/11-cis)","0","30","0"
"CCDC17","coiled-coil domain containing 17","0","30","0"
"RABEP1","rabaptin, RAB GTPase binding effector protein 1","0","0","30"
"CD79A","CD79a molecule","0","0","30"
"MAP2K1","mitogen-activated protein kinase kinase 1","0","0","30"
"ID4","inhibitor of DNA binding 4, HLH protein","0","0","30"
"TBC1D3L","TBC1 domain family member 3L","0","0","30"
