"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"ZNF790","zinc finger protein 790","0.5","0.9624","0.9393","0.1795","0.0702","0.9413","0.5622"
"DPH1","diphthamide biosynthesis 1","0.5","0.7748","0.7944","0.397","0.1472","0.2954","0.1958"
"PAX4","paired box 4","0.5","0.6548","0.0568","0.5169","0.9768","0.2907","0.215"
"INTS6","integrator complex subunit 6","0.5","0.0301","0.5484","0.2647","0.1543","0.1815","0.5541"
"SYMPK","symplekin","0.5","0.588","0.6745","0.9319","0.6949","0.1618","0.8146"
"DOPEY1","dopey family member 1","0.5","0.0199","0.794","0.5015","0.5","0.1838","0.3086"
"NCKAP5L","NCK associated protein 5 like","0.5","0.6617","0.034","0.3199","0.5477","0.2404","0.8013"
"SLC35C2","solute carrier family 35 member C2","0.5","0.243","0.8768","0.2209","0.9495","0.4143","0.0597"
"NDUFB8","NADH:ubiquinone oxidoreductase subunit B8","0.5","0.2913","0.0254","0.2989","0.9941","0.5956","0.8682"
"DGKH","diacylglycerol kinase eta","0.5","0.104","0.4093","0.5421","0.328","0.8373","0.8024"
"CMTR1","cap methyltransferase 1","0.5","0.1299","0.9197","0.3204","0.6279","0.6635","0.5837"
"MREG","melanoregulin","0.5","0.0807","0.9874","0.2362","0.8842","0.9445","0.611"
"FAM173A","family with sequence similarity 173 member A","0.5","0.5508","0.2115","0.2433","0.863","0.8722","0.1399"
"ZNF783","zinc finger family member 783","0.5","0.7172","0.1607","0.9833","0.5472","0","0.0796"
"CREB3L3","cAMP responsive element binding protein 3 like 3","0.5","0.9036","0.5596","0.9615","0.0375","0.0231","0.4703"
"XKRY2","XK related, Y-linked 2","0.5","0.8326","0.5179","0.9453","0.2804","0.9869","0.6189"
"NXPH3","neurexophilin 3","0.5","0.4003","0.4244","0.8234","0.9926","0.4667","0.5804"
"UTF1","undifferentiated embryonic cell transcription factor 1","0.5","0.0855","0.0321","0.6514","0.3049","0.9315","0.643"
"TTC9C","tetratricopeptide repeat domain 9C","0.5","0.2643","0.461","0.2984","0.1102","0.8945","0.1952"
"KRT3","keratin 3","0.5","0.7377","0.9539","0.2939","0.5779","0.0846","0.7997"
"SDCBP2","syndecan binding protein 2","0.5","0.4494","0.357","0.8478","0.6279","0.7968","0.6946"
"CD200","CD200 molecule","0.5","0.5139","0.7591","0.1473","0.6902","0.257","0.191"
"TAS1R1","taste 1 receptor member 1","0.5","0.0301","0.9611","0.4074","0.4697","0.0201","0.1714"
"DBT","dihydrolipoamide branched chain transacylase E2","0.5","0.5448","0.0553","0.0158","0.2689","0.454","0.3249"
"UQCRH","ubiquinol-cytochrome c reductase hinge protein","0.5","0.7715","0.6019","0.6321","0.382","0.9147","0.8308"
"OR4C13","olfactory receptor family 4 subfamily C member 13","0.5","0.0462","0.3855","0.9855","0.9004","0.8739","0.0974"
"CDC23","cell division cycle 23","0.5","0.9667","0.4084","0.449","0.8279","0.5733","0.3571"
"PRAMEF17","PRAME family member 17","0.5","0.5001","0.7937","0.3239","0.6115","0.1819","0.2868"
"ATG14","autophagy related 14","0.5","0.5183","0.8627","0.1214","0.2328","0.2314","0.5549"
"DYNC1I1","dynein cytoplasmic 1 intermediate chain 1","0.5","0.6691","0.0278","0.8826","0.613","0.6686","0.7691"
"HNRNPCL1","heterogeneous nuclear ribonucleoprotein C-like 1","0.5","0.8909","0.9939","0.4657","0.9794","0.1579","0.2148"
"CTBP1","C-terminal binding protein 1","0.5","0.0113","0.8657","0.9708","0.0424","0.3396","0.1914"
"ARMC2","armadillo repeat containing 2","0.5","0.368","0.2485","0.9911","0.0385","0.6153","0.8691"
"ZDHHC4","zinc finger DHHC-type containing 4","0.5","0.5136","0.1409","0.0803","0.2446","0.7564","0.2229"
"SUN1","Sad1 and UNC84 domain containing 1","0.5","0.2328","0.4679","0.4179","0.5399","0.6956","0.5983"
"ORAI1","ORAI calcium release-activated calcium modulator 1","0.5","0.9345","0.4854","0.1523","0.3475","0.906","0.0153"
"TMEM126A","transmembrane protein 126A","0.5","0.7886","0.606","0.1533","0.82","0.034","0.3945"
"CIZ1","CDKN1A interacting zinc finger protein 1","0.5","0.8146","0.5414","0.8652","0.5664","0.5668","0.2708"
"SLC22A11","solute carrier family 22 member 11","0.5","0.8787","0.2219","0.8888","0.8657","0.7752","0.0371"
"SNRPN","small nuclear ribonucleoprotein polypeptide N","0.5","0.3993","0.424","0.1088","0.6369","0.1308","0.6292"
"KDELR1","KDEL endoplasmic reticulum protein retention receptor 1","0.5","0.7834","0.5683","0.9365","0.6564","0.8501","0.0086"
"TLR2","toll like receptor 2","0.5","0.5129","0.3232","0.7345","0.6435","0.2014","0.4598"
"USP22","ubiquitin specific peptidase 22","0.5","0.7105","0.2169","0.7733","0.7362","0.203","0.0207"
"CASKIN1","CASK interacting protein 1","0.5","0.1149","0.8788","0.044","0.3469","0.092","0.1024"
"MRGBP","MRG domain binding protein","0.5","0.3317","0.5226","0.9474","0.9537","0.8465","0.1017"
"ACTR1A","ARP1 actin related protein 1 homolog A","0.5","0.7393","0.9851","0.7071","0.085","0.7014","0.1559"
"TSPY10","testis specific protein, Y-linked 10","0.5","0.8258","0.4384","0.6865","0.8041","0.2154","0.7563"
"SLC1A5","solute carrier family 1 member 5","0.5","0.4262","0.6492","0.6059","0.1322","0.3484","0.7852"
"ATM","ATM serine/threonine kinase","0.5","0.0565","0.8441","0.3271","0.4964","0.5164","0.4985"
"TUBB1","tubulin beta 1 class VI","0.5","0.1088","0.562","0.2804","0.5249","0.2525","0.2781"
"KDM1B","lysine demethylase 1B","0.5","0.2659","0.6542","0.0076","0.6985","0.0963","0.9471"
"OR10K1","olfactory receptor family 10 subfamily K member 1","0.5","0.0724","0.9892","0.4619","0.018","0.5991","0.2898"
"NMI","N-myc and STAT interactor","0.5","0.8365","0.4397","0.2386","0.5913","0.8657","0.9949"
"ZFPL1","zinc finger protein like 1","0.5","0.1542","0.4236","0.1982","0.4905","0.8418","0.9797"
"PRDM5","PR/SET domain 5","0.5","0.4624","0.189","0.1245","0.2413","0.4102","0.4328"
"SS18","SS18, nBAF chromatin remodeling complex subunit","0.5","0.3324","0.0176","0.2019","0.4537","0.8717","0.1906"
"TMCC3","transmembrane and coiled-coil domain family 3","0.5","0.3596","0.8429","0.1437","0.1137","0.1753","0.0521"
"GABRA6","gamma-aminobutyric acid type A receptor alpha6 subunit","0.5","0.0776","0.8398","0.3319","0.6505","0.4823","0.6469"
"CAST","calpastatin","0.5","0.638","0.0572","0.1801","0.3117","0.561","0.0956"
"LUZP2","leucine zipper protein 2","0.5","0.5233","0.4614","0.1716","0.1868","0.7939","0.1165"
"RECK","reversion inducing cysteine rich protein with kazal motifs","0.5","0.2707","0.8306","0.7848","0.2278","0.4962","0.2962"
"NPR3","natriuretic peptide receptor 3","0.5","0.6754","0.5815","0.2096","0.7828","0.7554","0.482"
"SLC20A1","solute carrier family 20 member 1","0.5","0.2308","0.1588","0.7651","0.6037","0.3287","0.3085"
"ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","0.5","0.3116","0.2134","0.4034","0.5231","0.8138","0.1424"
"DYNC2H1","dynein cytoplasmic 2 heavy chain 1","0.5","0.7155","0.1273","0.9609","0.4617","0.7612","0.8555"
"BLK","BLK proto-oncogene, Src family tyrosine kinase","0.5","0.8056","0.2915","0.6851","0.9207","0.6222","0.9414"
"TFPI","tissue factor pathway inhibitor","0.5","0.0825","0.0126","0.2785","0.0071","0.4672","0.4343"
"H1FNT","H1 histone family member N, testis specific","0.5","0.3337","0.7991","0.7682","0.9648","0.8663","0.6536"
"PPP1R37","protein phosphatase 1 regulatory subunit 37","0.5","0.3954","0.6865","0.711","0.753","0.5692","0.4784"
"HIST3H2A","histone cluster 3 H2A","0.5","0.167","0.3618","0.3572","0.969","0.238","0.2258"
"R3HCC1L","R3H domain and coiled-coil containing 1 like","0.5","0.59","0.0267","0.5283","0.3784","0.6213","0.8385"
"IL36B","interleukin 36, beta","0.5","0.4717","0.0177","0.4374","0.4834","0.5533","0.016"
"HLA-DQB1","major histocompatibility complex, class II, DQ beta 1","0.5","0.0136","0.4078","1","0.5225","0.9493","0.9064"
"OR5H14","olfactory receptor family 5 subfamily H member 14","0.5","0.5549","0.7504","0.5172","0.0436","0.7604","0.1822"
"ALDH6A1","aldehyde dehydrogenase 6 family member A1","0.5","0.2244","0.3128","0.2169","0.9196","0.9081","0.6077"
"SMYD4","SET and MYND domain containing 4","0.5","0.3316","0.9448","0.6646","0.2982","0.1987","0.1119"
"RNF121","ring finger protein 121","0.5","0.1061","0.9667","0.8548","0.5067","0.551","0.6794"
"PRG4","proteoglycan 4","0.5","0.9345","0.127","0.2004","0.5626","0.7836","0.6988"
"UGT2A1","UDP glucuronosyltransferase family 2 member A1 complex locus","0.5","0.7089","0.0089","0.0653","0.5029","0.8406","0.3154"
"NSMCE1","NSE1 homolog, SMC5-SMC6 complex component","0.5","0.6314","0.7102","0.3413","0.1844","0.6656","0.1046"
"ASPRV1","aspartic peptidase, retroviral-like 1","0.5","0.7033","0.7047","0.9651","0.8916","0.9013","0.0578"
"TBRG4","transforming growth factor beta regulator 4","0.5","0.4912","0.4833","0.7058","0.8151","0.7469","0.8692"
"APCDD1","APC down-regulated 1","0.5","0.027","0.0835","0.5352","0.9442","0.2991","0.8381"
"CRK","CRK proto-oncogene, adaptor protein","0.5","0.8253","0.7925","0.4781","0.6776","0.8312","0.7302"
"TBX5","T-box 5","0.5","0.2686","0.5192","0.5702","0.909","0.9501","0.718"
"COL7A1","collagen type VII alpha 1 chain","0.5","0.118","0.4221","0.541","0.3499","0.4371","0.769"
"KIAA0368","KIAA0368","0.5","0.0086","0.4142","0.0271","0.1792","0.6652","0.4436"
"ZNF264","zinc finger protein 264","0.5","0.4507","0.633","0.1696","0.0736","0.6543","0.5826"
"C2orf49","chromosome 2 open reading frame 49","0.5","0.9769","0.3605","0.6156","0.8926","0.842","0.999"
"SYT3","synaptotagmin 3","0.5","0.8581","0.7546","0.2767","0.8606","0.5805","0.8803"
"MS4A6E","membrane spanning 4-domains A6E","0.5","0.0869","0.046","0.8398","0.5505","0.6355","0.237"
"EFCAB14","EF-hand calcium binding domain 14","0.5","0.2203","0.2613","0.1951","0.5302","0.0171","0.6951"
"PDZD3","PDZ domain containing 3","0.5","0.557","0.1781","0.409","0.3163","0.9778","0.0123"
"GRHPR","glyoxylate and hydroxypyruvate reductase","0.5","0.581","0.5719","0.7831","0.1739","0.1257","0.5851"
"PITPNM3","PITPNM family member 3","0.5","0.2043","0.9024","0.3036","0.6622","0.0049","0.86"
"ZSWIM4","zinc finger SWIM-type containing 4","0.5","0.5704","0.5091","0.2962","0.336","0.0852","0.6501"
"RNF182","ring finger protein 182","0.5","0.5812","0.5409","0.1126","0.4924","0.6346","0.4099"
"AZU1","azurocidin 1","0.5","0.9829","0.846","0.8959","0.7223","0.3998","0.3974"
"GDF3","growth differentiation factor 3","0.5","0.0074","0.7614","0.1399","0.2025","0.43","0.5171"
"PSD4","pleckstrin and Sec7 domain containing 4","0.5","0.6563","0.8034","0.0376","0.5711","0.9442","0.1092"
"RAP2B","RAP2B, member of RAS oncogene family","0.5","0.0911","0.3404","0.1454","0.8938","0.4246","0.1691"
"KCTD4","potassium channel tetramerization domain containing 4","0.5","0.5412","0.4249","0.0991","0.5591","0.8128","0.7368"
"TCOF1","treacle ribosome biogenesis factor 1","0.5","0.3611","0.9978","0.3565","0.1313","0.4183","0.1424"
"ZNF189","zinc finger protein 189","0.5","0.1818","0.2747","0.3629","0.3943","0.1682","0.4442"
"CRHR1","corticotropin releasing hormone receptor 1","0.5","0.9345","0.7494","0.9538","0.8926","0.2482","0.4048"
"EGFL8","EGF like domain multiple 8","0.5","0.2891","0.0923","0.2189","0.948","0.2202","0.1256"
"CRBN","cereblon","0.5","0.282","0.2814","0.744","0.2791","0.0513","0.9696"
"ZNF275","zinc finger protein 275","0.5","0.9996","0.6987","0.6028","0.462","0.0794","0.4705"
"LAMP3","lysosomal associated membrane protein 3","0.5","0.3669","0.3002","0.4269","0.1698","0.2684","0.8404"
"ZNF800","zinc finger protein 800","0.5","0.2295","0.0594","0.585","0.6142","0.023","0.0497"
"KIAA1257","KIAA1257","0.5","0.1418","0.4252","0.8074","0.0119","0.1811","0.5004"
"SAMD11","sterile alpha motif domain containing 11","0.5","0.3183","0.2984","0.5079","0.5584","0.4306","0.4697"
"CEP170","centrosomal protein 170","0.5","0.165","0.827","0.1148","0.3795","0.9037","0.0198"
"PHLPP2","PH domain and leucine rich repeat protein phosphatase 2","0.5","0.9235","0.949","0.9415","0.5453","0.554","0.859"
"ATP5J","ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6","0.5","0.8748","0.466","0.3228","0.689","0.0967","0.4338"
"NANOS1","nanos C2HC-type zinc finger 1","0.5","0.3456","0.1231","0.2767","0.7641","0.6253","0.4129"
"GOLGA6L10","golgin A6 family-like 10","0.5","0.1309","0.6828","0.3629","0.4737","0.216","0.079"
"KLHDC2","kelch domain containing 2","0.5","0.4522","0.2421","0.8918","0.8362","0.1684","0.3375"
"PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component","0.5","0.2834","0.053","0.6225","0.6734","0.2344","0.9173"
"HIST1H3A","histone cluster 1 H3 family member a","0.5","0.7993","0.8093","0.255","0.9741","0.9873","0.7438"
"IER2","immediate early response 2","0.5","0.5586","0.898","0.4752","0.9019","0.2429","0.7334"
"OR2L13","olfactory receptor family 2 subfamily L member 13","0.5","0.2086","0.4839","0.6061","0.428","0.3573","0.2989"
"NR3C2","nuclear receptor subfamily 3 group C member 2","0.5","0.7379","0.7874","0.3037","0.1387","0.0095","0.0402"
"C20orf194","chromosome 20 open reading frame 194","0.5","0.2692","0.9693","0.2882","0.5343","0.9947","0.9672"
"THAP6","THAP domain containing 6","0.5","0.6828","0.4762","0.8351","0.1034","0.1031","0.6682"
"GGPS1","geranylgeranyl diphosphate synthase 1","0.5","0.3123","0.269","0.1051","0.5207","0.452","0.6835"
"GRWD1","glutamate rich WD repeat containing 1","0.5","0.8364","0.0812","0.1165","0.446","0.2335","0.45"
"SPEN","spen family transcriptional repressor","0.5","0.6648","0.0439","0.6136","0.7635","0.3682","0.7244"
"OR4A16","olfactory receptor family 4 subfamily A member 16","0.5","0.8749","0.9193","0.9424","0.153","0.2418","0.3932"
"NDUFAF2","NADH:ubiquinone oxidoreductase complex assembly factor 2","0.5","0.8493","0.5593","0.1916","0.3055","0.2278","0.2008"
"BPIFB6","BPI fold containing family B member 6","0.5","0.3567","0.0136","0.5184","0.5565","0.7322","0.2805"
"CXCR1","C-X-C motif chemokine receptor 1","0.5","0.336","0.5973","0.1873","0.3346","0.6505","0.933"
"PGBD1","piggyBac transposable element derived 1","0.5","0.3772","0.5007","0.5041","0.8412","0.9598","0.9561"
"GTF2IRD1","GTF2I repeat domain containing 1","0.5","0.7376","0.9634","0.5189","0.1562","0.8825","0.9097"
"CNR1","cannabinoid receptor 1","0.5","0.5908","0.8942","0.1494","0.3714","0.7953","0.258"
"ECHDC1","ethylmalonyl-CoA decarboxylase 1","0.5","0.663","0.5277","0.687","0.5083","0.2569","0.5331"
"LDHA","lactate dehydrogenase A","0.5","0.7777","0.8015","0.4741","0.9261","0.4249","0.9438"
"TARBP1","TAR (HIV-1) RNA binding protein 1","0.5","0.8613","0.3525","0.817","0.3298","0.8837","0.1186"
"NXNL2","nucleoredoxin-like 2","0.5","0.3134","0.841","0.0652","0.3684","0.4331","0.2906"
"CCBE1","collagen and calcium binding EGF domains 1","0.5","0.392","0.2959","0.9071","0.106","0.3811","0.9265"
"ASH1L","ASH1 like histone lysine methyltransferase","0.5","0.4378","0.3381","0.6366","0.7322","0.1237","0.8752"
"OR4C12","olfactory receptor family 4 subfamily C member 12","0.5","0.2744","0.5009","0.123","0.8471","0.0274","0.8366"
"RCAN2","regulator of calcineurin 2","0.5","0.8288","0.1525","0.18","0.0745","0.5326","0.9798"
"DGKD","diacylglycerol kinase delta","0.5","0.2115","0.4197","0.0382","0.3726","0.4541","0.7879"
"USP19","ubiquitin specific peptidase 19","0.5","0.2531","0.8662","0.932","0.3076","0.0962","0.6647"
"DAPK2","death associated protein kinase 2","0.5","0.4337","0.8148","0.7178","0.5401","0.7669","0.328"
"AVPR1A","arginine vasopressin receptor 1A","0.5","0.4535","0.8233","0.6233","0.1026","0.0888","0.8668"
"CRSP5","cofactor required for Sp1 transcriptional activation, subunit 5","0.5","0.3298","0.3544","0.7385","0.9701","0.1545","0.945"
"PROM1","prominin 1","0.5","0.2912","0.5144","0.9695","0.4001","0.7214","0.1519"
"KIAA2026","KIAA2026","0.5","0.6187","0.462","0.454","0.0814","0.2652","0.2846"
"WNK4","WNK lysine deficient protein kinase 4","0.5","0.2476","0.2459","0.656","0.2947","0.1154","0.6965"
"IRF9","interferon regulatory factor 9","0.5","0.6051","0.1545","0.3572","0.0601","0.5743","0.1699"
"PPP1R12C","protein phosphatase 1 regulatory subunit 12C","0.5","0.9362","0.707","0.1929","0.4836","0.3086","0.3662"
"ANKH","ANKH inorganic pyrophosphate transport regulator","0.5","0.2846","0.6723","0.4028","0.9472","0.0758","0.4949"
"SLC39A10","solute carrier family 39 member 10","0.5","0.8129","0.2213","0.5362","0.7873","0.1941","0.673"
"ANAPC1","anaphase promoting complex subunit 1","0.5","0.8108","0.7998","0.5379","0.0709","0.3668","0.873"
"TIGD2","tigger transposable element derived 2","0.5","0.123","0.804","0.3829","0.5928","0.6149","0.6078"
"FGF2","fibroblast growth factor 2","0.5","0.7507","0.5046","0.0988","0.4107","0.6656","0.2649"
"WFDC8","WAP four-disulfide core domain 8","0.5","0.5832","0.4739","0.9788","0.104","0.7809","0.8588"
"GPR52","G protein-coupled receptor 52","0.5","0.6031","0.5704","0.0562","0.1185","0.2651","0.6161"
"SAR1B","secretion associated Ras related GTPase 1B","0.5","0.8282","0.0618","0.6957","0.697","0.7752","0.2263"
"CDYL","chromodomain Y like","0.5","0.5369","0.0404","0.8406","0.6202","0.107","0.7073"
"CARS","cysteinyl-tRNA synthetase","0.5","0.1215","0.6137","0.3603","0.6712","0.4897","0.804"
"MTMR14","myotubularin related protein 14","0.5","0.6778","0.0845","0.8953","0.3899","0.9907","0.4976"
"ARHGAP28","Rho GTPase activating protein 28","0.5","0.3885","0.547","0.8165","0.5667","0.4318","0.7552"
"CARD11","caspase recruitment domain family member 11","0.5","0.8592","0.6135","0.6351","0.803","0.4113","0.3892"
"ZNF442","zinc finger protein 442","0.5","0.2986","0.9153","0.9101","0.8222","0.5181","0.9312"
"CRABP1","cellular retinoic acid binding protein 1","0.5","0.0784","0.1457","0.5192","0.3594","0.2249","0.9121"
"VPS45","vacuolar protein sorting 45 homolog","0.5","0.8969","0.1563","0.8576","0.0874","0.3591","0.6204"
"FBXL14","F-box and leucine rich repeat protein 14","0.5","0.3821","0.4427","0.261","0.7308","0.7406","0.7249"
"OR10A5","olfactory receptor family 10 subfamily A member 5","0.5","0.2481","0.6681","0.2378","0.6932","0.2078","0.3734"
"TIAM1","T-cell lymphoma invasion and metastasis 1","0.5","0.1966","0.0485","0.7214","0.8089","0.9786","0.4982"
"IL6R","interleukin 6 receptor","0.5","0.5551","0.5506","0.6764","0.6154","0.827","0.653"
"GPR155","G protein-coupled receptor 155","0.5","0.5649","0.2062","0.4775","0.3667","0.7756","0.1108"
"ELOVL3","ELOVL fatty acid elongase 3","0.5","0.0198","0.1856","0.0994","0.8248","0.8488","0.7474"
"CFAP74","cilia and flagella associated protein 74","0.5","0.0026","0.8526","0.0517","0.9633","0.3413","0.2225"
"REPIN1","replication initiator 1","0.5","0.481","0.7173","0.0683","0.2232","0.6712","0.5921"
"AUP1","ancient ubiquitous protein 1","0.5","0.3279","0.7743","0.6277","0.5648","0.9017","0.356"
"COX6A1","cytochrome c oxidase subunit 6A1","0.5","0.1582","0.2516","0.4033","0.0246","0.8463","0.4321"
"AP1M1","adaptor related protein complex 1 mu 1 subunit","0.5","0.6968","0.8985","0.468","0.8106","0.3892","0.51"
"FAM133A","family with sequence similarity 133 member A","0.5","0.2098","0.2801","0.4814","0.4662","0.0789","0.8536"
"ADAD1","adenosine deaminase domain containing 1","0.5","0.6507","0.8869","0.2807","0.36","0.1633","0.1649"
"GP6","glycoprotein VI platelet","0.5","0.1154","0.2794","0.4669","0.8905","0.1161","0.2758"
"ETHE1","ETHE1, persulfide dioxygenase","0.5","0.0107","0.6694","0.0361","0.9762","0.0374","0.4052"
"DCAKD","dephospho-CoA kinase domain containing","0.5","0.3865","0.2266","0.6666","0.0619","0.2615","0.6959"
"GIN1","gypsy retrotransposon integrase 1","0.5","0.9825","0.8306","0.3554","0.9405","0.2244","0.4107"
"GPAT4","glycerol-3-phosphate acyltransferase 4","0.5","0.9839","0.2472","0.442","0.8049","0.2495","0.4279"
"TBC1D15","TBC1 domain family member 15","0.5","0.5995","0.8344","0.5326","0.3224","0.9871","0.911"
"PPFIBP2","PPFIA binding protein 2","0.5","0.3483","0.1235","0.5154","0.5915","0.1246","0.9646"
"CFHR1","complement factor H related 1","0.5","0.7455","0.4593","0.9838","0.9019","0.4585","0.7254"
"PCIF1","PDX1 C-terminal inhibiting factor 1","0.5","0.4324","0.2058","0.8001","0.0241","0.3964","0.7831"
"CABLES2","Cdk5 and Abl enzyme substrate 2","0.5","0.844","0.5965","0.1951","0.8086","0.7223","0.8771"
"SPRR2B","small proline rich protein 2B","0.5","0.8809","0.9795","0.4975","0.4183","0.0236","0.6928"
"SLC30A6","solute carrier family 30 member 6","0.5","0.8645","0.4968","0.5495","0.4362","1e-04","0.4507"
"ALDH1L1","aldehyde dehydrogenase 1 family member L1","0.5","0.374","0.9754","0.6956","0.1039","0.7243","0.7508"
"HHEX","hematopoietically expressed homeobox","0.5","0.5347","0.0926","0.9197","0.0163","0.5431","0.1336"
"DDX24","DEAD-box helicase 24","0.5","0.6554","0.1294","0.6104","0.2591","0.9998","0.4613"
"GAS1","growth arrest specific 1","0.5","0.3962","0.5318","0.2541","0.3863","0.9464","0.2935"
"AKT1","AKT serine/threonine kinase 1","0.5","0.3206","0.4516","0.361","0.4066","0.3066","0.4533"
"AKT1S1","AKT1 substrate 1","0.5","0.358","0.4962","0.3285","0.3285","0.3492","0.376"
"BRAF","B-Raf proto-oncogene, serine/threonine kinase","0.5","0.3096","0.359","0.3518","0.3581","0.3761","0.4523"
"CAB39","calcium binding protein 39","0.5","0.3861","0.3069","0.4677","0.3985","0.3958","0.3481"
"CAB39L","calcium binding protein 39 like","0.5","0.433","0.4746","0.4578","0.3316","0.3374","0.3986"
"CBX2","chromobox 2","0.5","0.4142","0.3865","0.419","0.4799","0.3874","0.4426"
"DDIT4","DNA damage inducible transcript 4","0.5","0.3937","0.4985","0.4273","0.3846","0.3835","0.3002"
"EIF4B","eukaryotic translation initiation factor 4B","0.5","0.4062","0.4363","0.4507","0.4784","0.4338","0.4711"
"EIF4E","eukaryotic translation initiation factor 4E","0.5","0.4131","0.4164","0.4112","0.4833","0.3836","0.4391"
"EIF4E2","eukaryotic translation initiation factor 4E family member 2","0.5","0.3054","0.4731","0.3601","0.3364","0.4433","0.3404"
"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","0.5","0.4431","0.3432","0.4745","0.3631","0.3195","0.462"
"HIF1A","hypoxia inducible factor 1 alpha subunit","0.5","0.4634","0.3798","0.3915","0.3549","0.3235","0.4622"
"IGF1","insulin like growth factor 1","0.5","0.4928","0.4619","0.416","0.372","0.4634","0.4167"
"IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","0.5","0.4978","0.4842","0.3229","0.4897","0.4074","0.3801"
"IRS1","insulin receptor substrate 1","0.5","0.4758","0.4063","0.4295","0.3189","0.4261","0.411"
"MAPK1","mitogen-activated protein kinase 1","0.5","0.3417","0.4279","0.417","0.4508","0.4514","0.4523"
"MAPK3","mitogen-activated protein kinase 3","0.5","0.494","0.315","0.3798","0.4783","0.3111","0.3537"
"MLST8","MTOR associated protein, LST8 homolog","0.5","0.4051","0.3862","0.3711","0.4964","0.4289","0.4169"
"MTOR","mechanistic target of rapamycin","0.5","0.3595","0.4526","0.439","0.477","0.4683","0.3623"
"PDPK1","3-phosphoinositide dependent protein kinase 1","0.5","0.4209","0.4128","0.4055","0.4363","0.4797","0.3496"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","0.5","0.3484","0.3578","0.3504","0.4873","0.3618","0.3358"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","0.5","0.3758","0.4382","0.4663","0.4113","0.4139","0.317"
"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","0.5","0.3359","0.3931","0.4218","0.3839","0.4924","0.4662"
"PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","0.5","0.4114","0.44","0.3547","0.3799","0.3353","0.4631"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","0.5","0.3958","0.3556","0.3622","0.3467","0.4245","0.4913"
"PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","0.5","0.3429","0.3376","0.3995","0.4722","0.4093","0.3723"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","0.5","0.4667","0.4273","0.3525","0.3958","0.3759","0.3916"
"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","0.5","0.3251","0.3311","0.3355","0.4922","0.4968","0.3931"
"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","0.5","0.4801","0.4504","0.4607","0.3386","0.3287","0.4562"
"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","0.5","0.3108","0.4489","0.4511","0.3124","0.4818","0.3207"
"PRKCA","protein kinase C alpha","0.5","0.4384","0.3207","0.4682","0.3451","0.3036","0.3028"
"PRKCB","protein kinase C beta","0.5","0.4351","0.4872","0.4442","0.3447","0.4091","0.305"
"PRKCG","protein kinase C gamma","0.5","0.4915","0.333","0.4265","0.4498","0.3213","0.4712"
"PTEN","phosphatase and tensin homolog","0.5","0.4646","0.3603","0.4127","0.3657","0.3062","0.4671"
"RHEB","Ras homolog enriched in brain","0.5","0.4667","0.3091","0.4808","0.3247","0.4324","0.4641"
"RICTOR","RPTOR independent companion of MTOR complex 2","0.5","0.4662","0.3113","0.3351","0.3207","0.3392","0.3465"
"RPS6","ribosomal protein S6","0.5","0.3146","0.3143","0.4338","0.4702","0.4926","0.3733"
"RPS6KA1","ribosomal protein S6 kinase A1","0.5","0.4527","0.4951","0.4717","0.3179","0.4614","0.3472"
"RPS6KA2","ribosomal protein S6 kinase A2","0.5","0.4995","0.3051","0.3587","0.3378","0.3112","0.3363"
"RPS6KA3","ribosomal protein S6 kinase A3","0.5","0.4392","0.3745","0.4944","0.4611","0.454","0.3308"
"RPS6KA6","ribosomal protein S6 kinase A6","0.5","0.442","0.4736","0.4153","0.3959","0.4098","0.4399"
"RPS6KB1","ribosomal protein S6 kinase B1","0.5","0.3829","0.4457","0.3302","0.4746","0.4142","0.3085"
"RPS6KB2","ribosomal protein S6 kinase B2","0.5","0.382","0.4063","0.4591","0.3216","0.4814","0.3027"
"RPTOR","regulatory associated protein of MTOR complex 1","0.5","0.3249","0.4373","0.3759","0.375","0.3557","0.4258"
"RRAGA","Ras related GTP binding A","0.5","0.4584","0.4067","0.488","0.447","0.4164","0.3645"
"RRAGB","Ras related GTP binding B","0.5","0.4424","0.3514","0.3101","0.4545","0.3156","0.3235"
"RRAGC","Ras related GTP binding C","0.5","0.4659","0.4462","0.3059","0.3028","0.4281","0.4299"
"RRAGD","Ras related GTP binding D","0.5","0.4447","0.437","0.4232","0.4334","0.3068","0.4118"
