"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"OR51B6","olfactory receptor family 51 subfamily B member 6","0.5","0.438","0.8983","0.9017","0.2316","0.0762","0.8177"
"RDH14","retinol dehydrogenase 14 (all-trans/9-cis/11-cis)","0.5","0.6735","0.4182","0.5828","0.5304","0.602","0.0213"
"C1QTNF5","C1q and TNF related 5","0.5","0.6071","0.4454","0.702","0.5435","0.1954","0.2098"
"PLD6","phospholipase D family member 6","0.5","0.5881","0.6342","0.5354","0.417","0.1445","0.6888"
"TAF6","TATA-box binding protein associated factor 6","0.5","0.0036","0.8999","0.044","0.0095","0.6289","0.936"
"KIAA1191","KIAA1191","0.5","0.012","0.4056","0.2854","0.4703","0.8707","0.9056"
"ERICH1","glutamate rich 1","0.5","0.5107","0.7012","0.9508","0.4934","0.1225","0.8519"
"PRAMEF1","PRAME family member 1","0.5","0.5665","0.6234","0.3467","0.8395","0.4547","0.8106"
"PCDHAC1","protocadherin alpha subfamily C, 1","0.5","0.1515","0.4704","0.0808","0.474","0.4642","0.3465"
"UCHL3","ubiquitin C-terminal hydrolase L3","0.5","0.866","0.2024","0.531","0.0696","0.3506","0.8763"
"TMEM65","transmembrane protein 65","0.5","0.0865","0.6674","0.5016","0.6606","0.2749","0.8545"
"MRPL32","mitochondrial ribosomal protein L32","0.5","0.724","0.1849","0.6701","0.9957","0.1919","0.185"
"ZDHHC6","zinc finger DHHC-type containing 6","0.5","0.2683","0.8081","0.5553","0.4114","0.6969","0.0549"
"MST1R","macrophage stimulating 1 receptor","0.5","0.9778","0.4044","0.989","0.3807","0.1853","0.2068"
"TMIE","transmembrane inner ear","0.5","0.9612","0.7746","0.8627","0.7213","0.2792","0.7729"
"HRH1","histamine receptor H1","0.5","0.0154","0.0185","0.3283","0.1169","0.361","0.0452"
"TANK","TRAF family member associated NFKB activator","0.5","0.8892","0.048","0.9579","0.4689","0.1866","0.532"
"ARL6","ADP ribosylation factor like GTPase 6","0.5","0.1901","0.5279","0.3568","0.0802","0.008","0.5594"
"GNG7","G protein subunit gamma 7","0.5","0.2484","0.9451","0.824","0.4203","0.4173","0.3331"
"SOX4","SRY-box 4","0.5","0.8809","0.2801","0.3309","0.5501","0.6887","0.8947"
"SAMD11","sterile alpha motif domain containing 11","0.5","0.374","0.3457","0.1253","0.5519","0.5312","0.4938"
"MOB3C","MOB kinase activator 3C","0.5","0.1571","0.2959","0.2004","0.8418","0.6719","0.174"
"OR2T12","olfactory receptor family 2 subfamily T member 12","0.5","0.6188","0.1066","0.3358","0.0245","0.9224","0.1158"
"CEP170","centrosomal protein 170","0.5","0.9768","0.3745","0.6524","0.6571","0.0059","0.8311"
"RGPD6","RANBP2-like and GRIP domain containing 6","0.5","0.3411","0.6543","0.4938","0.4085","0.6299","0.9095"
"HCRT","hypocretin neuropeptide precursor","0.5","0.9485","0.7158","0.4273","0.3327","0.1826","0.4003"
"MTG1","mitochondrial ribosome associated GTPase 1","0.5","0.4776","0.3302","0.6367","0.2654","0.2885","0.3926"
"FBXL22","F-box and leucine rich repeat protein 22","0.5","0.8459","0.0069","0.0567","0.6429","0.3651","0.8715"
"RNPC3","RNA binding region (RNP1, RRM) containing 3","0.5","0.7012","0.6236","0.5607","0.3499","0.4312","0.3824"
"NME2","NME/NM23 nucleoside diphosphate kinase 2","0.5","0.7302","0.2653","0.7985","0.9429","0.381","0.6407"
"ZNF721","zinc finger protein 721","0.5","0.0551","0.2201","0.0959","0.9465","0.5149","0.587"
"LARGE2","LARGE xylosyl- and glucuronyltransferase 2","0.5","0.7783","0.3527","0.1818","0.5038","0.4654","0.1197"
"CCR8","C-C motif chemokine receptor 8","0.5","0.7031","0.1117","0.8247","0.1256","0.6222","0.7642"
"CPSF4L","cleavage and polyadenylation specific factor 4 like","0.5","0.2882","0.0426","0.4761","0.2538","0.2282","0.727"
"DDX20","DEAD-box helicase 20","0.5","0.0858","0.0338","0.0356","0.1405","0.8977","0.494"
"TBC1D15","TBC1 domain family member 15","0.5","0.9361","0.4884","0.2367","0.8428","0.6696","0.4671"
"ETV4","ETS variant 4","0.5","0.1522","0.9114","0.2928","0.2803","0.3179","0.6246"
"NRBP1","nuclear receptor binding protein 1","0.5","0.4693","0.665","0.9256","0.2812","0.0703","0.7279"
"ITM2B","integral membrane protein 2B","0.5","0.7863","0.6649","0.2062","0.1145","0.6739","0.7715"
"ELOA3D","elongin A3 family member D","0.5","0.6412","0.4306","0.8265","0.8743","0.7687","0.9066"
"OR10P1","olfactory receptor family 10 subfamily P member 1","0.5","0.108","0.2296","0.8731","0.7039","0.6847","0.6653"
"TCP11","t-complex 11","0.5","0.3184","0.9722","0.3667","0.9979","0.7544","0.2304"
"TTC24","tetratricopeptide repeat domain 24","0.5","0.9765","0.7124","0.9663","0.1078","0.2412","0.1332"
"SNRPB","small nuclear ribonucleoprotein polypeptides B and B1","0.5","0.6163","0.2805","0.9411","0.0823","0.3018","0.8241"
"UBALD1","UBA like domain containing 1","0.5","0.1912","0.4544","0.9515","0.2776","0.3216","0.5113"
"ZNF302","zinc finger protein 302","0.5","0.6684","0.1298","0.2723","0.0403","0.3019","0.4299"
"ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","0.5","0.6788","0.7943","0.088","0.1993","0.1794","0.6465"
"TXLNG","taxilin gamma","0.5","0.5776","0.6191","0.1504","0.7176","0.2333","0.1807"
"COPS3","COP9 signalosome subunit 3","0.5","0.8372","0.614","0.0466","0.8212","0.3158","0.1593"
"RPS5","ribosomal protein S5","0.5","0.8963","0.2698","0.9516","0.7882","0.1251","0.9592"
"MKRN3","makorin ring finger protein 3","0.5","0.0724","0.6537","0.5563","0.5101","0.7184","0.4438"
"TSR3","TSR3, acp transferase ribosome maturation factor","0.5","0.9976","0.5167","0.3464","0.2777","0.1688","0.975"
"RNF7","ring finger protein 7","0.5","0.8057","0.9819","0.6287","0.6264","0.5158","0.9541"
"CPLX1","complexin 1","0.5","0.7394","0.239","0.6926","0.2439","0.2665","0.0411"
"OPHN1","oligophrenin 1","0.5","0.6966","0.5456","0.4311","0.2785","0.2377","0.8897"
"TNNI1","troponin I1, slow skeletal type","0.5","0.4561","0.0021","0.8727","0.3918","0.5094","0.7723"
"CXorf58","chromosome X open reading frame 58","0.5","0.6254","0.5139","0.8266","0.1232","0.5509","0.0192"
"TRIOBP","TRIO and F-actin binding protein","0.5","0.459","0.0336","0.5063","0.0122","0.6616","0.697"
"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B","0.5","0.4397","0.3792","0.3722","0.4495","0.4879","0.2206"
"KIAA1210","KIAA1210","0.5","0.0131","0.1803","0.5515","0.3723","0.6975","0.3647"
"RB1CC1","RB1 inducible coiled-coil 1","0.5","0.0243","0.5416","0.7104","0.1448","0.0448","0.4897"
"HES4","hes family bHLH transcription factor 4","0.5","0.91","0.2909","0.3973","0.8706","0.7478","0.3393"
"ADGRE2","adhesion G protein-coupled receptor E2","0.5","0.815","0.5812","0.5153","0.6331","0.782","0.1392"
"HDDC3","HD domain containing 3","0.5","0.5217","0.052","0.4154","0.0698","0.5334","0.6483"
"VSIG10L2","V-set and immunoglobulin domain containing 10 like 2","0.5","0.6351","0.3576","0.0202","0.7242","0.3375","0.0816"
"KLHL5","kelch like family member 5","0.5","0.0147","0.7865","0.3089","0.8742","0.4279","0.2372"
"PCSK9","proprotein convertase subtilisin/kexin type 9","0.5","0.5814","0.7439","0.2092","0.1471","0.4744","0.7331"
"CTNND1","catenin delta 1","0.5","0.5176","0.6678","0.9347","0.2248","0.2847","0.1068"
"COMMD3","COMM domain containing 3","0.5","0.8267","0.3884","0.2566","0.2103","0.0684","0.2534"
"PRR35","proline rich 35","0.5","0.3005","0.9402","0.4356","0.7279","0.9252","0.44"
"CSK","CSK, non-receptor tyrosine kinase","0.5","0.2395","0.0646","0.1988","0.803","0.3875","0.7107"
"IL17RB","interleukin 17 receptor B","0.5","0.5661","0.0093","0.675","0.2716","0.2976","0.9293"
"PWWP2B","PWWP domain containing 2B","0.5","0.4613","0.5011","0.4927","0.977","0.2133","0.1346"
"FAM159B","family with sequence similarity 159 member B","0.5","0.4468","0.0643","0.7108","0.82","0.8231","0.2806"
"GRASP","general receptor for phosphoinositides 1 associated scaffold protein","0.5","0.7881","0.4775","0.392","0.7261","0.5178","0.4817"
"DENND1A","DENN domain containing 1A","0.5","0.7813","0.4722","0.1025","0.6854","0.1692","0.6097"
"FAM76A","family with sequence similarity 76 member A","0.5","0.7118","0.977","0.1767","0.7401","0.4254","0.4043"
"DEFB108F","defensin beta 108F (pseudogene)","0.5","0.1516","0.2845","0.337","0.2354","0.0884","0.6607"
"ARTN","artemin","0.5","0.8628","0.2486","0.8405","0.4323","0.6588","0.7512"
"OR2L2","olfactory receptor family 2 subfamily L member 2","0.5","0.7748","0.3492","0.2353","0.6486","0.6729","0.7522"
"POLE4","DNA polymerase epsilon 4, accessory subunit","0.5","0.8421","0.431","0.9456","0.2227","0.0737","0.7655"
"MLNR","motilin receptor","0.5","0.5257","0.052","0.4598","0.0113","0.5083","0.6356"
"HEPACAM2","HEPACAM family member 2","0.5","0.8574","0.9113","0.2578","0.2657","0.9387","0.2777"
"MMP24","matrix metallopeptidase 24","0.5","0.0019","0.7519","0.3","0.5884","0.1157","0.0499"
"TCF19","transcription factor 19","0.5","0.0367","0.8859","0.873","0.4279","0.3207","0.5634"
"ELOVL2","ELOVL fatty acid elongase 2","0.5","0.0544","0.7033","0.8362","0.4071","0.381","0.9747"
"DHRS2","dehydrogenase/reductase 2","0.5","0.5608","0.9973","0.27","0.2792","0.8565","0.3364"
"CCDC50","coiled-coil domain containing 50","0.5","0.1376","0.2288","0.3264","0.4469","0.8472","0.5963"
"SLC25A51","solute carrier family 25 member 51","0.5","0.4159","0.7867","0.4971","0.5049","0.7363","0.1003"
"SCP2D1","SCP2 sterol binding domain containing 1","0.5","0.3255","0.2727","0.3807","0.4885","0.8619","0.2395"
"LGALSL","galectin like","0.5","0.7051","0.7234","0.5108","0.0189","0.0174","0.4701"
"NAE1","NEDD8 activating enzyme E1 subunit 1","0.5","0.1341","0.5645","0.7195","0.7029","0.2355","0.2446"
"ZSCAN10","zinc finger and SCAN domain containing 10","0.5","0.9595","0.5854","0.5839","0.237","0.6512","0.967"
"IRGC","immunity related GTPase cinema","0.5","0.7733","0.432","0.2319","0.706","0.4194","0.3994"
"DOCK11","dedicator of cytokinesis 11","0.5","0.4714","0.166","0.0774","0.2115","0.1698","0.2978"
"MT1M","metallothionein 1M","0.5","0.5406","0.4563","0.7211","0.8738","0.445","0.9164"
"CATSPERE","catsper channel auxiliary subunit epsilon","0.5","0.9938","0.8643","0.742","0.3679","0.0458","0.3441"
"TRMT44","tRNA methyltransferase 44 homolog (S. cerevisiae)","0.5","0.5528","0.8952","0.7675","0.2936","0.6855","0.6694"
"SH2D7","SH2 domain containing 7","0.5","0.7964","0.0101","0.1685","0.9325","0.6879","0.2098"
"PTGES2","prostaglandin E synthase 2","0.5","0.3247","0.8999","0.0828","0.688","0.3659","0.1657"
"VCP","valosin containing protein","0.5","0.0946","0.0676","0.1055","0.2194","0.0073","0.3565"
"ATG9A","autophagy related 9A","0.5","0.093","0.8147","0.641","0.4113","0.3597","0.7017"
"GUCD1","guanylyl cyclase domain containing 1","0.5","0.0924","0.2268","0.3747","0.8475","0.0066","0.0409"
"PWWP2A","PWWP domain containing 2A","0.5","0.1584","0.5451","0.2107","0.0329","0.4613","0.5213"
"LRRC31","leucine rich repeat containing 31","0.5","0.651","6e-04","0.7456","0.5354","0.6858","0.8036"
"GCH1","GTP cyclohydrolase 1","0.5","0.732","0.3191","0.2641","0.9082","0.8495","0.3198"
"NPPC","natriuretic peptide C","0.5","0.145","0.0719","0.2062","0.8349","0.8389","0.523"
"KCP","kielin/chordin-like protein","0.5","0.739","0.8587","0.2121","0.699","0.4794","0.5492"
"ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4","0.5","0.4027","0.8319","0.99","0.8952","0.6291","0.5999"
"FAM50B","family with sequence similarity 50 member B","0.5","0.0171","0.9696","0.4084","0.136","0.8987","0.1483"
"EPDR1","ependymin related 1","0.5","0.1822","0.0142","0.4592","0.1331","0.9269","0.4982"
"EXOC4","exocyst complex component 4","0.5","0.0281","0.4673","0.7392","0.0326","0.2714","0.829"
"TAL2","TAL bHLH transcription factor 2","0.5","0.5965","0.7445","0.2397","0.039","0.5008","0.2485"
"ZNF777","zinc finger protein 777","0.5","0.2811","0.5085","0.3301","0.8555","0.7572","0.2121"
"NUDT21","nudix hydrolase 21","0.5","0.7243","0.9198","0.4275","0.6951","0.4119","0.6396"
"VSIG2","V-set and immunoglobulin domain containing 2","0.5","0.6128","0.2812","0.6784","0.8212","0.1758","0.7374"
"TTLL12","tubulin tyrosine ligase like 12","0.5","0.724","0.899","0.8944","0.2504","0.0588","0.3345"
"NMNAT3","nicotinamide nucleotide adenylyltransferase 3","0.5","0.3055","0.3189","0.0732","0.559","0.1519","0.3586"
"UQCR11","ubiquinol-cytochrome c reductase, complex III subunit XI","0.5","0.6427","0.6952","0.7006","0.091","0.2609","0.0598"
"TNRC6C","trinucleotide repeat containing 6C","0.5","0.1276","0.4131","0.406","0.1127","0.7896","0.3298"
"DLL4","delta like canonical Notch ligand 4","0.5","0.722","0.1152","0.4699","0.6305","0.6062","0.1494"
"RGS11","regulator of G protein signaling 11","0.5","0.7504","0.2958","0.1649","0.6451","0.9215","0.1989"
"TAS2R5","taste 2 receptor member 5","0.5","0.3947","0.7502","0.2411","0.7772","0.7087","0.6326"
"CMTM6","CKLF like MARVEL transmembrane domain containing 6","0.5","0.6116","0.5858","0.2892","0.226","0.7382","0.0441"
"KCTD8","potassium channel tetramerization domain containing 8","0.5","0.716","0.5227","0.1711","0.3335","0.8402","0.3134"
"MPG","N-methylpurine DNA glycosylase","0.5","0.5574","0.4592","0.6573","0.9484","0.0549","0.2893"
"OR2AG2","olfactory receptor family 2 subfamily AG member 2","0.5","0.1097","0.3364","0.5913","0.715","0.055","0.2837"
"PAX7","paired box 7","0.5","0.2091","0.6169","0.4222","0.6063","0.2543","0.7393"
"SLC25A18","solute carrier family 25 member 18","0.5","0.6604","0.442","0.1686","0.5498","0.3289","0.41"
"RAB2B","RAB2B, member RAS oncogene family","0.5","0.4279","0.3632","0.2337","0.0177","0.311","0.1314"
"KLF2","Kruppel like factor 2","0.5","0.9965","0.5781","0.3664","0.294","0.9109","0.8352"
"CHAD","chondroadherin","0.5","0.4553","0.3115","0.8427","0.2792","0.8573","0.475"
"COL16A1","collagen type XVI alpha 1 chain","0.5","0.5783","0.0012","0.0809","0.6342","0.6065","0.3026"
"PTCH1","patched 1","0.5","0.1528","0.9087","0.8778","0.6719","0.0255","0.7497"
"JAM2","junctional adhesion molecule 2","0.5","0.6126","0.6011","0.2786","0.3333","0.0534","0.5356"
"MYL4","myosin light chain 4","0.5","0.497","0.1957","0.9518","0.1561","0.3798","0.7724"
"CYB5R4","cytochrome b5 reductase 4","0.5","0.7293","0.3323","0.0985","0.2829","0.5538","0.4764"
"DDX60","DExD/H-box helicase 60","0.5","0.9051","0.1585","0.9527","0.9396","0.633","0.7026"
"GPR160","G protein-coupled receptor 160","0.5","0.5582","0.9181","0.4071","0.6907","0.3211","0.0445"
"OR56B4","olfactory receptor family 56 subfamily B member 4","0.5","0.384","0.9007","0.8803","0.3955","0.4489","2e-04"
"C6orf99","chromosome 6 open reading frame 99","0.5","0.6328","0.7075","0.7453","0.9782","0.579","0.4209"
"FMO5","flavin containing monooxygenase 5","0.5","0.7885","0.464","0.2012","0.387","0.89","0.4625"
"MLXIPL","MLX interacting protein like","0.5","0.3937","0.0347","0.1848","0.2884","0.4047","0.1849"
"FOXN1","forkhead box N1","0.5","0.4005","0.1359","0.6425","0.633","0.9406","0.6432"
"SH2B1","SH2B adaptor protein 1","0.5","0.3048","0.2217","0.7292","0.8443","0.4793","0.6717"
"CCL2","C-C motif chemokine ligand 2","0.5","0.8585","0.0016","0.0276","0.4493","0.3614","0.95"
"FAU","FAU, ubiquitin like and ribosomal protein S30 fusion","0.5","0.9474","0.7523","0.4581","0.1517","0.8322","0.9184"
"ERICH2","glutamate rich 2","0.5","0.9377","0.4971","0.1039","0.567","0.9646","0.8909"
"C7orf25","chromosome 7 open reading frame 25","0.5","0.1785","0.192","0.0783","0.2575","0.9257","0.8058"
"CCDC83","coiled-coil domain containing 83","0.5","0.719","0.2861","0.3051","0.3066","0.6634","0.4671"
"ZC3H7A","zinc finger CCCH-type containing 7A","0.5","0.4789","0.8774","0.2145","0.8137","0.0571","0.3733"
"SEC24B","SEC24 homolog B, COPII coat complex component","0.5","0.3613","0.1759","0.7389","0.3275","0.7314","0.7866"
"H3F3C","H3 histone family member 3C","0.5","0.9976","0.0673","0.1498","0.8945","0.2554","0.011"
"SLC22A16","solute carrier family 22 member 16","0.5","0.7189","0.3389","0.5684","0.8929","0.5616","0.7241"
"MYPN","myopalladin","0.5","0.4409","0.5439","0.4487","0.1482","0.1159","0.8508"
"ADGRD2","adhesion G protein-coupled receptor D2","0.5","0.9756","0.3136","0.6826","0.4367","0.1209","0.8316"
"SLFN11","schlafen family member 11","0.5","0.6939","0.0925","0.7422","0.1465","0.7435","0.0606"
"WASHC3","WASH complex subunit 3","0.5","0.1643","0.6513","0.0132","0.4738","0.7915","0.0297"
"RAD9A","RAD9 checkpoint clamp component A","0.5","0.163","0.12","0.1303","0.3668","0.6405","0.1763"
"AQP9","aquaporin 9","0.5","0.3917","0.8449","0.4945","0.5961","0.0276","0.5538"
"C11orf63","chromosome 11 open reading frame 63","0.5","0.7566","0.5157","0.2037","0.4194","0.3799","0.3439"
"LY96","lymphocyte antigen 96","0.5","0.1041","0.6294","0.4155","0.9712","0.8328","0.141"
"ARMC1","armadillo repeat containing 1","0.5","0.1176","0.3345","0.2394","0.3951","0.4976","0.6497"
"OPN3","opsin 3","0.5","0.5223","0.2781","0.8452","0.8422","0.2781","0.8056"
"FAT2","FAT atypical cadherin 2","0.5","0.096","0.6122","0.147","0.6015","0.6968","0.6886"
"MSK38","antigen identified by monoclonal antibody O5","0.5","0.7096","0.9476","0.6125","0.6894","0.3626","0.2763"
"BMT2","base methyltransferase of 25S rRNA 2 homolog","0.5","0.1938","0.9946","0.2825","0.9139","0.3381","0.1317"
"ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15","0.5","0.262","0.5587","0.1716","0.2845","0.4779","0.2685"
"SULT2A1","sulfotransferase family 2A member 1","0.5","0.0192","0.6637","0.2639","0.6998","0.6407","0.3906"
"NTF4","neurotrophin 4","0.5","0.7666","0.3507","0.9201","0.0438","0.4304","0.9144"
"MYT1L","myelin transcription factor 1 like","0.5","0.8536","0.6465","0.9565","0.4856","0.4032","0.0787"
"CIITA","class II major histocompatibility complex transactivator","0.5","0.4219","0.8954","0.6595","0.5719","0.31","0.2947"
"MAPKAP1","mitogen-activated protein kinase associated protein 1","0.5","0.8579","0.8842","0.883","0.8937","0.0068","0.706"
"CYC1","cytochrome c1","0.5","0.0387","0.117","0.8843","0.5586","0.2877","0.975"
"AFMID","arylformamidase","0.5","0.5482","0.7267","0.2567","0.4888","0.9126","0.0781"
"SLN","sarcolipin","0.5","0.1686","0.4441","0.8627","0.4618","0.7777","0.6666"
"KCNC2","potassium voltage-gated channel subfamily C member 2","0.5","0.3087","0.2405","0.3963","0.9405","0.3905","0.892"
"FBXL7","F-box and leucine rich repeat protein 7","0.5","0.1881","0.7858","0.0361","0.7633","0.344","9e-04"
"FASLG","Fas ligand","0.5","0.9319","0.3633","0.0719","0.2667","0.9544","0.0755"
"DNHD1","dynein heavy chain domain 1","0.5","0.5925","0.4431","0.1096","0.9505","0.0473","0.8524"
"PRDM13","PR/SET domain 13","0.5","0.5844","0.0777","0.8936","0.9437","0.4727","0.4378"
"C3","complement C3","0.5","0.1818","0.7108","0.0257","0.7803","0.7652","0.0974"
"SPDYE18","speedy/RINGO cell cycle regulator family member E18","0.5","0.7326","0.7686","0.9104","0.7261","0.2516","0.1159"
"DDX46","DEAD-box helicase 46","0.5","0.1273","0.9568","0.6388","0.3398","0.107","0.043"
"C1QTNF7","C1q and TNF related 7","0.5","0.3755","0.9224","0.8168","0.5714","0.8505","0.7551"
"RFPL3","ret finger protein like 3","0.5","0.9103","0.5538","0.2528","0.0696","0.2583","0.1389"
"OPN1MW3","opsin 1, medium wave sensitive 3","0.5","0.5919","0.4969","0.1949","0.8292","0.9046","0.1539"
"NUDT4","nudix hydrolase 4","0.5","0.5221","0.147","0.0792","0.4076","0.7705","0.3197"
"KDELR3","KDEL endoplasmic reticulum protein retention receptor 3","0.5","0.3154","0.1067","0.7389","0.3422","0.4857","0.2111"
"C17orf47","chromosome 17 open reading frame 47","0.5","0.9925","0.5764","0.7087","0.1824","0.4617","0.9998"
"AQP6","aquaporin 6","0.5","0.5912","0.8836","0.47","0.0863","0.5946","0.1701"
"NRXN2","neurexin 2","0.5","0.8524","0.4297","0.9572","0.6957","0.7521","0.5512"
"BMS1","BMS1, ribosome biogenesis factor","0.5","0.987","0.0682","0.9314","0.3101","0.1863","0.3997"
"AKT1","AKT serine/threonine kinase 1","0.5","0.3869","0.3838","0.3205","0.3259","0.3194","0.361"
"AKT1S1","AKT1 substrate 1","0.5","0.395","0.3168","0.3735","0.3571","0.3123","0.3329"
"BRAF","B-Raf proto-oncogene, serine/threonine kinase","0.5","0.3122","0.3524","0.3945","0.3214","0.345","0.3712"
"CAB39","calcium binding protein 39","0.5","0.3207","0.399","0.3942","0.3467","0.3026","0.3982"
"CAB39L","calcium binding protein 39 like","0.5","0.3362","0.3223","0.3861","0.3709","0.3045","0.342"
"CBX2","chromobox 2","0.5","0.3863","0.3161","0.3255","0.3541","0.3906","0.3034"
"DDIT4","DNA damage inducible transcript 4","0.5","0.3593","0.3298","0.3827","0.3813","0.3813","0.3634"
"EIF4B","eukaryotic translation initiation factor 4B","0.5","0.3268","0.3496","0.3615","0.3653","0.3115","0.3998"
"EIF4E","eukaryotic translation initiation factor 4E","0.5","0.3992","0.3979","0.3996","0.388","0.3971","0.3004"
"EIF4E2","eukaryotic translation initiation factor 4E family member 2","0.5","0.33","0.3726","0.3074","0.3705","0.3806","0.324"
"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","0.5","0.3951","0.3692","0.3895","0.3037","0.3277","0.3408"
"HIF1A","hypoxia inducible factor 1 alpha subunit","0.5","0.3031","0.3963","0.3493","0.3748","0.3347","0.3121"
"IGF1","insulin like growth factor 1","0.5","0.3109","0.3184","0.343","0.3176","0.3952","0.3271"
"IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","0.5","0.3831","0.3131","0.3667","0.3387","0.3093","0.3295"
"IRS1","insulin receptor substrate 1","0.5","0.4","0.3756","0.3606","0.3481","0.3449","0.3889"
"MAPK1","mitogen-activated protein kinase 1","0.5","0.3124","0.3167","0.3803","0.3092","0.3296","0.3218"
"MAPK3","mitogen-activated protein kinase 3","0.5","0.3505","0.3837","0.3065","0.3184","0.3392","0.3973"
"MLST8","MTOR associated protein, LST8 homolog","0.5","0.3872","0.3268","0.3439","0.3047","0.3625","0.3574"
"MTOR","mechanistic target of rapamycin","0.5","0.3962","0.3733","0.3789","0.3906","0.3096","0.3971"
"PDPK1","3-phosphoinositide dependent protein kinase 1","0.5","0.37","0.3008","0.3281","0.3837","0.387","0.3972"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","0.5","0.3205","0.3219","0.3464","0.3202","0.3277","0.3402"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","0.5","0.3252","0.3204","0.3945","0.391","0.3523","0.3066"
"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","0.5","0.3964","0.3197","0.3235","0.3878","0.3446","0.3665"
"PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","0.5","0.3185","0.3808","0.3127","0.3908","0.3879","0.3216"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","0.5","0.3717","0.3157","0.3874","0.3238","0.382","0.3503"
"PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","0.5","0.3596","0.3151","0.3387","0.3595","0.3379","0.3969"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","0.5","0.351","0.3477","0.3509","0.3182","0.3176","0.3009"
"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","0.5","0.3898","0.3269","0.3331","0.3917","0.3475","0.3317"
"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","0.5","0.3693","0.3969","0.3366","0.3543","0.3837","0.3112"
"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","0.5","0.3992","0.3194","0.3547","0.3919","0.3281","0.3116"
"PRKCA","protein kinase C alpha","0.5","0.372","0.3607","0.3642","0.3208","0.3024","0.3428"
"PRKCB","protein kinase C beta","0.5","0.3356","0.3163","0.3018","0.3634","0.362","0.3069"
"PRKCG","protein kinase C gamma","0.5","0.3234","0.3712","0.3538","0.3348","0.3492","0.3678"
"PTEN","phosphatase and tensin homolog","0.5","0.3245","0.3106","0.3147","0.3437","0.3069","0.3349"
"RHEB","Ras homolog enriched in brain","0.5","0.3947","0.3647","0.3572","0.3863","0.3245","0.3965"
"RICTOR","RPTOR independent companion of MTOR complex 2","0.5","0.3269","0.3133","0.3826","0.3766","0.3552","0.3862"
"RPS6","ribosomal protein S6","0.5","0.3051","0.3926","0.3929","0.3072","0.3279","0.3749"
"RPS6KA1","ribosomal protein S6 kinase A1","0.5","0.3826","0.3749","0.3856","0.3364","0.343","0.3492"
"RPS6KA2","ribosomal protein S6 kinase A2","0.5","0.3695","0.363","0.3907","0.3054","0.3219","0.3716"
"RPS6KA3","ribosomal protein S6 kinase A3","0.5","0.3072","0.3213","0.3583","0.3003","0.3646","0.3322"
"RPS6KA6","ribosomal protein S6 kinase A6","0.5","0.3684","0.3196","0.3935","0.3553","0.3601","0.3946"
"RPS6KB1","ribosomal protein S6 kinase B1","0.5","0.3007","0.3302","0.3642","0.3082","0.37","0.3043"
"RPS6KB2","ribosomal protein S6 kinase B2","0.5","0.321","0.359","0.3739","0.3273","0.357","0.359"
"RPTOR","regulatory associated protein of MTOR complex 1","0.5","0.3007","0.33","0.3276","0.3291","0.3108","0.3865"
"RRAGA","Ras related GTP binding A","0.5","0.3713","0.3633","0.3952","0.3066","0.3235","0.3418"
"RRAGB","Ras related GTP binding B","0.5","0.3155","0.3792","0.371","0.3352","0.3844","0.3489"
"RRAGC","Ras related GTP binding C","0.5","0.3309","0.3106","0.3497","0.3069","0.3199","0.3871"
"RRAGD","Ras related GTP binding D","0.5","0.3302","0.3304","0.3066","0.3482","0.4","0.3789"
"RYBP","RING1 and YY1 binding protein","0.5","0.3978","0.3401","0.3267","0.3303","0.3817","0.3145"
"STK11","serine/threonine kinase 11","0.5","0.3083","0.3911","0.305","0.3258","0.3221","0.3111"
"STRADA","STE20-related kinase adaptor alpha","0.5","0.3333","0.36","0.3981","0.3111","0.349","0.3862"
"TNF","tumor necrosis factor","0.5","0.3496","0.3292","0.3993","0.3","0.3587","0.3492"
"TSC1","tuberous sclerosis 1","0.5","0.342","0.3763","0.3691","0.3713","0.3207","0.3235"
"TSC2","tuberous sclerosis 2","0.5","0.3843","0.3751","0.3941","0.3856","0.325","0.3157"
"ULK1","unc-51 like autophagy activating kinase 1","0.5","0.3953","0.3804","0.3687","0.3201","0.3899","0.3898"
"ULK2","unc-51 like autophagy activating kinase 2","0.5","0.3004","0.3515","0.3611","0.3854","0.3847","0.3944"
